"filename", "language", "Vue", "comment", "blank", "total"
"c:\laragon\www\market_place\resources\js\Pages\Auth\ForgotPassword.vue", "Vue", 34, 0, 8, 42
"c:\laragon\www\market_place\resources\js\Pages\Auth\Login.vue", "Vue", 61, 1, 11, 73
"c:\laragon\www\market_place\resources\js\Pages\Auth\Register.vue", "Vue", 55, 7, 6, 68
"c:\laragon\www\market_place\resources\js\Pages\Auth\ResetPassword.vue", "Vue", 46, 0, 11, 57
"c:\laragon\www\market_place\resources\js\Pages\Auth\Welcome.vue", "Vue", 4, 0, 3, 7
"Total", "-", 200, 8, 39, 247
