"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "XML", "Vue", "comment", "blank", "total"
"c:\laragon\www\market_place\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\laragon\www\market_place\resources\css\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, -2, 0, 0, -3, -1, -6
"c:\laragon\www\market_place\resources\css\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, -5, -1, -7
"c:\laragon\www\market_place\resources\css\css\animate.min.css", "CSS", 0, 0, 0, -1579, 0, 0, -6, -158, -1743
"c:\laragon\www\market_place\resources\css\css\bs-theme-overrides.css", "CSS", 0, 0, 0, -38, 0, 0, 0, -4, -42
"c:\laragon\www\market_place\resources\css\css\styles.css", "CSS", 0, 0, 0, -982, 0, 0, -6, -202, -1190
"c:\laragon\www\market_place\resources\css\fonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, -3531, 0, -4, -1, -3536
"c:\laragon\www\market_place\resources\css\fonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, -799, 0, -4, -1, -804
"c:\laragon\www\market_place\resources\css\fonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, -4696, 0, -4, -1, -4701
"c:\laragon\www\market_place\resources\css\fonts\fontawesome-all.min.css", "CSS", 0, 0, 0, -1, 0, 0, -4, 0, -5
"c:\laragon\www\market_place\resources\css\js\bootstrap.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, -5, -1, -7
"c:\laragon\www\market_place\resources\css\js\bs-init.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -2, -13
"c:\laragon\www\market_place\resources\css\js\confetti\confetti.js", "JavaScript", 0, 0, -199, 0, 0, 0, 0, -14, -213
"c:\laragon\www\market_place\resources\css\js\confetti\confetti.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\laragon\www\market_place\resources\css\js\livereload.js", "JavaScript", 0, 0, -65, 0, 0, 0, 0, -30, -95
"c:\laragon\www\market_place\resources\css\js\popover.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Dropdown-menu-computer-version.vue", "Vue", 0, 0, 0, 0, 0, -57, -7, -11, -75
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Menu.vue", "Vue", 0, 0, 0, 0, 0, -190, -9, -22, -221
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Navbar.vue", "Vue", 0, 0, 0, 0, 0, -48, -5, 0, -53
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Notices.vue", "Vue", 0, 0, 0, 0, 0, -82, 0, 0, -82
"c:\laragon\www\market_place\resources\js\Components\Header\Comps\Theme.vue", "Vue", 0, 0, 0, 0, 0, -25, 0, 0, -25
"c:\laragon\www\market_place\resources\js\Components\Header\Header.vue", "Vue", 0, 0, 0, 0, 0, -98, -5, -13, -116
"c:\laragon\www\market_place\resources\js\Pages\Auth\ForgotPassword.vue", "Vue", 0, 0, 0, 0, 0, -34, 0, -8, -42
"c:\laragon\www\market_place\resources\js\Pages\Auth\Login.vue", "Vue", 0, 0, 0, 0, 0, -61, -1, -11, -73
"c:\laragon\www\market_place\resources\js\Pages\Auth\Register.vue", "Vue", 0, 0, 0, 0, 0, -55, -7, -6, -68
"c:\laragon\www\market_place\resources\js\Pages\Auth\ResetPassword.vue", "Vue", 0, 0, 0, 0, 0, -46, 0, -11, -57
"c:\laragon\www\market_place\resources\js\Pages\Auth\Welcome.vue", "Vue", 0, 0, 0, 0, 0, -4, 0, -3, -7
"c:\laragon\www\market_place\resources\js\Pages\Home.vue", "Vue", 0, 0, 0, 0, 0, -431, -1, -7, -439
"c:\laragon\www\market_place\resources\js\Pages\Private\Achats.vue", "Vue", 0, 0, 0, 0, 0, -146, -4, -10, -160
"c:\laragon\www\market_place\resources\js\Pages\Private\Articles.vue", "Vue", 0, 0, 0, 0, 0, -198, -3, -19, -220
"c:\laragon\www\market_place\resources\js\Pages\Private\ArticlesManagment\Details.vue", "Vue", 0, 0, 0, 0, 0, -59, -2, -16, -77
"c:\laragon\www\market_place\resources\js\Pages\Private\Commandes.vue", "Vue", 0, 0, 0, 0, 0, -127, -3, -8, -138
"c:\laragon\www\market_place\resources\js\Pages\Private\Dashboard.vue", "Vue", 0, 0, 0, 0, 0, -20, 0, -10, -30
"c:\laragon\www\market_place\resources\js\Pages\Private\Fournisseur.vue", "Vue", 0, 0, 0, 0, 0, -188, -3, -12, -203
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile.vue", "Vue", 0, 0, 0, 0, 0, -265, -6, -18, -289
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\Delete-Account.vue", "Vue", 0, 0, 0, 0, 0, -43, -1, 0, -44
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\New-contact.vue", "Vue", 0, 0, 0, 0, 0, -42, -1, -4, -47
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\add-phone.vue", "Vue", 0, 0, 0, 0, 0, -82, -5, -23, -110
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\change-password.vue", "Vue", 0, 0, 0, 0, 0, -38, -1, 0, -39
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\changes-account-infos.vue", "Vue", 0, 0, 0, 0, 0, -59, -4, -4, -67
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\entreprise-connected.vue", "Vue", 0, 0, 0, 0, 0, -28, -1, 0, -29
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\form-address.vue", "Vue", 0, 0, 0, 0, 0, -62, 0, -9, -71
"c:\laragon\www\market_place\resources\js\Pages\Private\Profile\form-user.vue", "Vue", 0, 0, 0, 0, 0, -80, 0, -11, -91
"c:\laragon\www\market_place\resources\js\Pages\Private\Ventes.vue", "Vue", 0, 0, 0, 0, 0, -149, -3, -12, -164
"c:\laragon\www\market_place\resources\js\Pages\Private\managment.vue", "Vue", 0, 0, 0, 0, 0, -20, 0, -4, -24
"c:\laragon\www\market_place\resources\js\Pages\Private\sell-and-buy.vue", "Vue", 0, 0, 0, 0, 0, -20, 0, -4, -24
